customer_id,gender,ages,country,pages_visited,payment_method,cart_value,discount_applied,customer_segment,purchased,product_clicked,loyalty_score,product_category,price,session_date,session_time,device_type,referral_source,repeat_customer
ec52cec1-54b5-40cc-be5c-ee83692a781d,Male,31,Guyana,5,Bank Transfer,0.0,0,Window Shopper,0,perhaps,12,Electronics,0.0,2025-06-25 08:17:45,10.14,Tablet,Direct,1
740d2f73-d569-4551-8b51-a293350256a8,Female,56,Thailand,1,Crypto,0.0,0,Impulse Buyer,0,theory,36,Home,0.0,2025-07-20 22:06:53,16.96,Tablet,Search,0
080bb30f-bb6d-4344-84f0-f93bee79c4d9,Male,20,Suriname,17,PayPal,0.0,0,Window Shopper,0,describe,4,Electronics,0.0,2025-07-11 15:41:26,4.69,Desktop,Direct,1
89030e48-018d-42a0-aaf6-3435bc998a6e,Female,64,Falkland Islands (Malvinas),16,PayPal,467.42999999999995,1,Window Shopper,1,TV,42,Electronics,334.84,2025-01-02 02:41:50,6.27,Mobile,Social,0
898a2eea-10be-45ed-9d59-39984ab92437,Male,48,Suriname,1,PayPal,522.26,0,Bargain Hunter,1,window,6,Electronics,445.34,2025-02-11 06:59:13,24.66,Mobile,Social,1
dfc673a5-156b-427c-af8e-fee28d8f0639,Female,18,Guinea-Bissau,17,PayPal,182.86,1,Loyal,1,determine,67,Home,106.16,2025-05-31 09:27:37,28.62,Mobile,Social,0
8bf128af-7031-468c-9707-7b9ad67b7e31,Male,56,Gibraltar,12,PayPal,0.0,1,Window Shopper,0,collection,13,Electronics,0.0,2025-01-17 14:59:41,19.92,Desktop,Direct,0
84a07ebb-6a60-4179-a390-24d8ffb73be4,Male,47,Mozambique,13,PayPal,250.63,1,Window Shopper,1,doctor,91,Clothing,94.62,2025-06-03 22:55:08,3.87,Desktop,Direct,0
4a7e9ea4-725f-49cd-9468-f421a05b5232,Female,42,Spain,3,Crypto,0.0,0,Bargain Hunter,0,challenge,86,Electronics,0.0,2025-05-23 03:00:04,24.9,Mobile,Search,1
9ca37733-8fcc-4317-b992-783c2edbe974,Female,38,New Caledonia,7,Credit Card,0.0,1,Impulse Buyer,0,exist,57,Beauty,0.0,2025-05-04 07:25:52,28.68,Desktop,Direct,0
a3a62bf2-dbd6-4e9f-ac7d-668567de7d5a,Male,53,Thailand,3,Bank Transfer,0.0,0,Loyal,0,fight,96,Beauty,0.0,2025-04-29 00:52:58,5.18,Mobile,Social,0
10d74956-64c2-4eab-9e64-9582591462b6,Male,24,Benin,6,PayPal,0.0,0,Impulse Buyer,0,though,91,Clothing,0.0,2025-06-05 21:11:07,28.72,Desktop,Social,1
a75b2037-fbec-41a1-8e81-0e257286a4a7,Male,19,Ethiopia,18,Credit Card,0.0,0,Window Shopper,0,significant,48,Electronics,0.0,2025-05-23 03:49:33,16.05,Tablet,Search,1
fd00f8dd-d71d-4d4d-94e2-61e25f814d76,Female,63,Puerto Rico,7,PayPal,324.58000000000004,0,Window Shopper,1,voice,57,Home,156.22,2025-02-12 11:17:55,26.27,Mobile,Social,1
08aa1ba9-20d1-438a-96d7-b14e5a56f4e7,Female,52,Portugal,4,Credit Card,172.3,0,Loyal,1,thought,89,Clothing,32.97,2025-03-24 15:52:01,2.27,Desktop,Social,0
0f1239d2-73e3-4c99-b020-2a53ee97f33c,Male,32,Armenia,14,Bank Transfer,0.0,1,Bargain Hunter,0,reach,48,Books,0.0,2025-01-05 07:00:31,8.44,Mobile,Social,1
95209d18-ec85-4e2f-86dc-d2a14f48c8b1,Female,43,Cape Verde,9,PayPal,0.0,0,Bargain Hunter,0,single,44,Books,0.0,2025-02-02 06:54:33,26.03,Tablet,Direct,1
93d18ace-607a-4d4e-b0d3-0bf49333a680,Female,54,Holy See (Vatican City State),19,Credit Card,328.35,1,Bargain Hunter,1,according,53,Electronics,192.07,2025-07-18 02:59:02,1.93,Desktop,Social,0
8aba239b-7294-4e8a-ae21-8cdd36b27d0f,Male,53,Netherlands,20,Crypto,179.01,0,Loyal,1,radio,68,Clothing,20.95,2025-04-28 21:39:34,1.95,Tablet,Direct,0
1fd7fa7e-94e4-4417-8b60-b382879d6aa0,Male,29,Rwanda,5,Credit Card,197.59,0,Impulse Buyer,1,build,76,Clothing,35.71,2025-03-17 23:55:14,13.16,Mobile,Email,0
2cb992ef-225f-4574-b1f8-5b6c2729de9e,Female,25,Peru,17,Bank Transfer,0.0,1,Bargain Hunter,0,on,85,Home,0.0,2025-05-09 00:50:10,22.78,Mobile,Email,0
34967f4c-c02c-45bd-8990-ed7d1b189ba2,Male,27,Belarus,15,Bank Transfer,167.21,0,Window Shopper,1,miss,43,Beauty,19.85,2025-03-14 21:47:31,7.84,Desktop,Search,0
fbbf7e9c-03f6-4b73-ad8d-e6de33c45fc5,Female,23,Bouvet Island (Bouvetoya),17,Crypto,0.0,0,Window Shopper,0,card,35,Clothing,0.0,2025-01-08 10:46:34,14.67,Mobile,Direct,1
d53dbf3d-991c-4c56-8de7-e9e99c284781,Male,22,Bahrain,16,PayPal,0.0,1,Window Shopper,0,drug,25,Home,0.0,2025-03-26 18:53:35,20.43,Desktop,Direct,1
b253ead2-1d55-48d6-bb55-3bc92e0e0f07,Male,49,Qatar,15,Crypto,249.05,1,Loyal,1,hold,84,Electronics,219.08,2025-05-15 07:10:58,21.53,Tablet,Social,0
fa32d40c-d79e-41aa-9d0b-538193c0f90a,Male,58,Uzbekistan,2,Crypto,117.53,1,Bargain Hunter,1,treatment,24,Electronics,102.22,2025-01-22 14:57:44,10.13,Tablet,Direct,0
088a696a-af49-44d8-9989-adc65cf07751,Male,42,Saint Vincent and the Grenadines,7,Crypto,129.23,0,Loyal,1,long,90,Clothing,69.22,2025-02-20 04:28:35,26.68,Desktop,Social,0
701551a3-388a-4836-83ab-f01ca171b4f9,Female,45,Congo,14,Credit Card,86.81,0,Loyal,1,how,84,Beauty,57.43,2025-06-09 10:00:19,20.86,Tablet,Social,0
f71c09b3-161a-47b4-997f-d79f9d43b537,Male,56,Micronesia,5,PayPal,0.0,0,Window Shopper,0,this,23,Electronics,0.0,2025-03-02 03:09:55,10.28,Tablet,Search,0
83e29b08-b206-4836-94e7-8d0815fc997b,Female,64,Lebanon,1,Crypto,0.0,1,Impulse Buyer,0,ball,79,Clothing,0.0,2025-03-03 12:31:11,12.04,Mobile,Social,1
db16f2ca-a596-4b89-a531-28f9b9209c60,Female,53,Mozambique,8,PayPal,0.0,0,Impulse Buyer,0,wear,99,Electronics,0.0,2025-01-15 10:10:26,17.5,Desktop,Search,1
ee263d6a-e5d2-433d-80b8-3ef06e7d85c7,Female,19,Samoa,15,Credit Card,137.27,1,Window Shopper,1,win,67,Books,25.55,2025-07-11 19:48:04,4.93,Desktop,Direct,0
55ba6d20-84f4-44d2-a4ea-ddd172210699,Female,48,Bolivia,6,Crypto,189.52,0,Impulse Buyer,1,PM,6,Books,42.71,2025-01-03 17:49:26,4.79,Desktop,Search,0
60a0b679-e834-4603-9a8d-200d98312b5c,Female,35,Slovenia,5,PayPal,0.0,0,Impulse Buyer,0,protect,4,Home,0.0,2025-07-07 10:56:17,18.15,Tablet,Search,1
73e129ff-f399-4cc9-a2ca-619683793aee,Female,53,Slovakia (Slovak Republic),13,PayPal,252.25,0,Window Shopper,1,learn,94,Home,71.94,2025-03-30 14:05:07,24.05,Tablet,Email,0
3e6beb2f-1840-4dc4-aff5-a0df2c1b2b11,Male,38,Faroe Islands,13,Crypto,95.22999999999999,1,Loyal,1,large,66,Home,65.88,2025-05-10 19:40:55,4.08,Tablet,Social,1
1365f4fe-6de3-4ab0-88d8-217ed10d748c,Female,32,Korea,17,PayPal,0.0,1,Loyal,0,someone,56,Home,0.0,2025-03-10 01:20:02,9.44,Mobile,Search,1
6c37432c-d9a7-486c-a4a0-0c66f5bae5a7,Female,33,Qatar,3,Crypto,0.0,0,Loyal,0,scientist,13,Home,0.0,2025-05-04 21:03:09,9.17,Tablet,Search,0
0fd5947d-da7d-45f6-83c4-ed6ffa54a76a,Female,21,Guadeloupe,5,Crypto,68.6,0,Loyal,1,sense,61,Home,30.67,2025-02-04 18:21:55,6.32,Desktop,Social,1
bf7ca383-7ebb-490f-bdc7-095bc2d12e63,Male,65,Tokelau,2,Bank Transfer,90.41,1,Bargain Hunter,1,exactly,100,Clothing,65.23,2025-06-06 22:40:38,20.66,Mobile,Email,0
cb5e8287-03f3-4254-9a36-3106d6ef55f8,Male,43,Greenland,14,Credit Card,0.0,0,Loyal,0,trouble,90,Clothing,0.0,2025-02-22 18:14:11,12.88,Tablet,Direct,0
